CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,30/04/2020,63.0,5833.0,716.0,21.0,356.0
AR,30/04/2020,44.0,2454.0,256.0,4.0,95.0
AS,30/04/2020,16.0,1871.0,136.0,7.0,27.0
CB,30/04/2020,29.0,1002.0,79.0,3.0,86.0
CE,30/04/2020,2.0,10.0,4.0,0.0,9.0
CL,30/04/2020,189.0,7854.0,520.0,19.0,137.0
CM,30/04/2020,122.0,8441.0,584.0,35.0,129.0
CN,30/04/2020,17.0,902.0,174.0,2.0,30.0
CT,30/04/2020,426.0,26457.0,2731.0,80.0,605.0
EX,30/04/2020,18.0,1527.0,107.0,6.0,89.0
GA,30/04/2020,24.0,2738.0,276.0,29.0,808.0
IB,30/04/2020,8.0,1074.0,166.0,3.0,28.0
MC,30/04/2020,7.0,635.0,107.0,0.0,51.0
MD,30/04/2020,429.0,38732.0,3194.0,70.0,424.0
ML,30/04/2020,1.0,44.0,3.0,0.0,2.0
NC,30/04/2020,21.0,1956.0,130.0,10.0,57.0
PV,30/04/2020,92.0,6524.0,538.0,21.0,432.0
RI,30/04/2020,15.0,1411.0,87.0,3.0,54.0
VC,30/04/2020,82.0,5066.0,660.0,19.0,264.0
AN,01/05/2020,280.0,4596.0,511.0,32.0,192.0
AR,01/05/2020,89.0,1978.0,235.0,15.0,107.0
AS,01/05/2020,41.0,1371.0,113.0,4.0,28.0
CB,01/05/2020,43.0,830.0,68.0,4.0,54.0
CE,01/05/2020,5.0,8.0,3.0,0.0,5.0
CL,01/05/2020,407.0,6430.0,423.0,45.0,215.0
CM,01/05/2020,487.0,5007.0,475.0,60.0,178.0
CN,01/05/2020,46.0,753.0,148.0,3.0,44.0
CT,01/05/2020,1221.0,19855.0,2123.0,125.0,600.0
EX,01/05/2020,91.0,966.0,77.0,17.0,123.0
GA,01/05/2020,222.0,2150.0,188.0,26.0,600.0
IB,01/05/2020,41.0,853.0,140.0,10.0,85.0
MC,01/05/2020,29.0,525.0,88.0,5.0,44.0
MD,01/05/2020,1290.0,34071.0,2870.0,179.0,775.0
ML,01/05/2020,3.0,39.0,3.0,0.0,3.0
NC,01/05/2020,75.0,1588.0,117.0,14.0,88.0
PV,01/05/2020,302.0,5416.0,444.0,30.0,354.0
RI,01/05/2020,95.0,1038.0,74.0,11.0,66.0
VC,01/05/2020,197.0,4449.0,562.0,41.0,292.0
AN,02/05/2020,275.0,4633.0,516.0,32.0,214.0
AR,02/05/2020,85.0,1988.0,235.0,14.0,90.0
AS,02/05/2020,39.0,1386.0,114.0,4.0,27.0
CB,02/05/2020,38.0,834.0,68.0,3.0,53.0
CE,02/05/2020,5.0,8.0,3.0,0.0,5.0
CL,02/05/2020,389.0,6488.0,423.0,44.0,229.0
CM,02/05/2020,450.0,5002.0,476.0,57.0,209.0
CN,02/05/2020,43.0,758.0,150.0,3.0,22.0
CT,02/05/2020,1106.0,19958.0,2133.0,117.0,444.0
EX,02/05/2020,60.0,970.0,77.0,15.0,122.0
GA,02/05/2020,214.0,2168.0,188.0,26.0,584.0
IB,02/05/2020,34.0,859.0,141.0,10.0,89.0
MC,02/05/2020,28.0,528.0,89.0,5.0,47.0
MD,02/05/2020,1098.0,34029.0,2868.0,179.0,726.0
ML,02/05/2020,3.0,39.0,3.0,1.0,4.0
NC,02/05/2020,82.0,1595.0,121.0,10.0,85.0
PV,02/05/2020,297.0,5446.0,446.0,30.0,351.0
RI,02/05/2020,101.0,1048.0,75.0,9.0,67.0
VC,02/05/2020,185.0,4465.0,563.0,40.0,253.0
AN,03/05/2020,271.0,4681.0,527.0,28.0,211.0
AR,03/05/2020,83.0,2001.0,241.0,13.0,79.0
AS,03/05/2020,35.0,1392.0,114.0,4.0,10.0
CB,03/05/2020,38.0,837.0,68.0,5.0,52.0
CE,03/05/2020,6.0,9.0,4.0,0.0,5.0
CL,03/05/2020,380.0,6514.0,423.0,45.0,209.0
CM,03/05/2020,432.0,4981.0,476.0,59.0,217.0
CN,03/05/2020,37.0,760.0,150.0,3.0,23.0
CT,03/05/2020,981.0,20052.0,2144.0,116.0,423.0
